ticker|R1|R3|R5|R10
ETNCX|-9.11|4.42|5.24|3.17
EVNCX|-9.85|4.12|5.14|2.90
ECNCX|-6.19|5.33|5.46|2.90
EINCX|-4.37|6.33|6.47|3.49
ETOHX|-7.85|5.11|5.19|3.40
ECOHX|-4.91|5.99|5.44|3.13
EIOHX|-2.95|7.04|6.36|3.98
ETORX|-13.37|4.54|5.27|2.72
EVORX|-14.08|4.27|5.17|2.46
ECORX|-10.59|5.48|5.51|2.47
EIORX|-8.88|6.42|6.14|2.77
ETPAX|-6.23|4.23|5.36|2.94
EVPAX|-7.03|3.95|5.29|2.67
ECPAX|-3.15|5.17|5.61|2.68
EIPAX|-1.34|6.18|6.64|3.28
EASCX|-10.10|4.87|5.44|3.08
EVSCX|-10.87|4.55|5.32|2.80
ECSCX|-7.25|5.79|5.67|2.82
EISCX|-5.53|6.76|6.65|3.38
ETTNX|-7.87|2.27|3.99|2.04
EVTNX|-8.70|1.87|3.89|1.77
ECTNX|-4.88|3.18|4.25|1.78
EITNX|-3.08|4.14|4.90|2.10
ETVAX|-7.33|3.10|4.86|2.05
EVVAX|-8.10|2.79|4.79|1.78
ECVAX|-4.47|4.00|5.09|1.78
EVAIX|-2.61|5.00|6.12|2.35
ETMBX|-9.25|5.83|6.87|3.11
EBMBX|-10.04|5.55|6.78|2.84
ECMBX|-6.39|6.78|7.11|2.85
EVMBX|-4.58|7.81|8.18|3.86
EXMCX|9.58|5.94|16.59|6.95
EBMCX|10.32|6.20|16.87|6.78
ECMCX|14.33|7.23|17.07|6.78
EIMCX|16.49|8.25|18.11|7.65
EBABX|-6.90|7.17||
ECBAX|-3.84|8.11||
EIBAX|-2.01|9.19||
ECIAX|5.53|-14.72|0.60|-2.15
ECIIX||||
EAIIX|-8.68|-0.19|2.76|
ECIMX|-5.68|0.69|3.01|
EIIMX|-3.82|1.72|3.93|
EEIAX|-18.97|-2.11|6.61|
EEICX|-16.35|-1.22|6.90|
EEIIX|-14.77|-0.23|7.96|
EAFHX|4.45|5.10|12.44|4.59
EVFHX|2.07|4.30|11.89|4.33
EBFHX|-1.24|3.11|11.33|3.81
ECFHX|2.67|4.32|11.58|3.80
EIFHX|4.71|5.36|12.68|4.83
EVFAX|4.98|5.73|15.43|5.19
EAFAX|2.62|4.96|14.92|4.96
EBFAX|1.62|4.79|15.05|5.00
ECFAX|3.45|5.22|14.91|4.83
EIFAX|5.24|6.02|15.73|5.35
EABLX|3.94|4.46|11.42|4.09
EVBLX|1.70|3.69|10.94|3.86
EBBLX|-1.72|2.47|10.35|3.32
ECBLX|2.16|3.68|10.62|3.32
EIBLX|4.31|4.75|11.72|4.36
EDIAX|7.20|5.76|9.44|
EDICX|12.00|7.09|9.92|
EDIIX|14.09|8.13|11.03|
EDIRX|13.62|7.64|10.45|
EGRAX|-8.49|-0.64||
EGRCX|-5.53|0.28||
EGRIX|-3.70|1.29||
EGRRX|-4.15|0.81||
EAGMX|-6.82|-0.93|2.25|4.47
ECGMX|-3.84|-0.04|2.53|4.25
EIGMX|-1.86|1.00|3.54|5.16
ERGMX|-2.37|0.48|3.05|4.77
EVGOX|-4.99|-0.10|1.86|3.18
EMGOX|-5.79|-0.43|1.74|2.89
ECGOX|-2.12|0.76|2.06|2.88
EIGOX|-0.13|1.79|3.08|3.79
ERGOX|-0.53|1.31|2.59|3.40
ETHIX|2.46|6.96|17.72|6.81
EVHIX|1.78|6.74|17.82|6.56
ECHIX|5.78|7.90|17.99|6.54
EIHIX|7.83|9.05|19.08|7.03
EAERX|15.98|10.80|15.49|7.27
ECERX|21.20|12.18|16.01|7.11
EIERX|23.42|13.33|17.18|8.06
EADDX|-5.89|-1.18|5.87|
EBDDX|-6.79|-1.64|5.76|
ECDDX|-3.02|-0.36|6.08|
EIDDX|-1.06|0.65|7.10|
EAAMX|-4.90|||
ECAMX|-1.88|||
EIAMX|0.08|||
EALDX|-2.72|0.51|2.36|2.75
EBLDX|-4.12|-0.15|2.06|2.22
ECLDX|-1.93|0.70|2.23|2.38
EILDX|-0.23|1.53|3.05|3.09
ESHAX||||
ESHIX||||
ETSIX|-2.86|2.30|7.37|5.51
EVSGX|-6.18|1.06|6.71|4.94
ECSIX|-2.26|2.33|7.04|4.97
ESIIX|-0.37|3.33|8.03|5.44
ERSIX|-0.87|2.86|7.53|5.19
EAEAX|12.67|8.85|15.26|6.40
EBEAX|13.60|9.08|15.56|6.24
ECEAX|17.57|10.17|15.78|6.24
EADIX|6.57|7.03|12.05|5.16
EBDIX|7.15|7.18|12.27|4.99
ECDIX|11.25|8.36|12.54|5.00
EIDIX|13.34|9.43|13.69|5.96
ETTGX|13.10|10.51|15.93|5.44
EMTGX|14.08|10.79|16.20|5.28
ECTGX|18.08|11.87|16.43|5.27
EITMX|20.26|13.00|17.58|6.34
EXTGX|12.93|10.33|15.73|5.26
EYTGX|13.89|10.61|16.00|5.10
EZTGX|17.93|11.70|16.22|5.10
EITGX|20.06|12.79|17.39|6.16
EACPX|17.97|9.56|18.34|7.37
EBCPX|19.24|9.81|18.63|7.19
ECCPX|23.30|10.92|18.86|7.20
ETMGX|15.64|8.70|19.47|7.95
EMMGX|16.75|8.93|19.82|7.80
ECMGX|20.78|10.04|20.00|7.79
EIMGX|22.97|11.16|21.17|8.72
ESVAX|18.73|11.50|18.09|8.41
ESVCX|24.06|12.88|18.63|8.25
ESVIX|26.24|14.01|19.76|9.17
EATVX|13.59|9.70|13.61|6.21
ECTVX|18.68|11.05|14.11|6.04
EITVX|20.89|12.18|15.27|7.01
EHCXX||||
EBHXX||||
ECHXX||||
EIPCX|-13.76|||
EAPCX|-14.01|||
EIPSX|-6.51|||
EAPSX|-6.72|||
EIPEX||||
EAPEX||||
ECEMX|-8.20|-2.66|15.02|
EIEMX|-6.42|-1.69|16.17|
EAEMX|-6.63|-1.94|15.84|
EGSIX|11.50|||
EIISX|9.31|5.54||
EAISX|9.04|5.24||
EPRIX|-2.84|||
EPRAX|-3.08|||
ECIGX|7.21|2.96|9.24|4.06
EITIX|9.27|4.00|10.37|4.63
ETIGX|8.98|3.69|10.03|4.81
EELDX||||
EVIBX|1.51|6.08|15.88|6.95
EBIBX|0.80|5.85|15.92|6.67
ECIBX|4.62|6.96|16.14|6.66
ERIBX|6.31|7.55|16.72|7.19
EIBIX|6.84|8.08|17.30|7.74
EITEX|-7.24|-1.41|16.58|12.24
CAPEX|20.35|13.08|17.71|6.44
EVIFX|8.91|7.85|12.42|6.23
EMIFX|9.69|8.03|12.60|6.05
ECIFX|13.65|9.18|12.91|6.08
EIIFX|15.85|10.12|13.83|6.89
EVBAX|3.71|||
EVBCX|7.09|||
EVBIX|9.10|||
EACSX|-17.58|-10.73||
ECCSX|-14.95|-9.95||
EICSX|-13.23|-9.06||
EVTMX|9.21|9.11|12.28|8.88
EMTMX|10.04|9.33|12.51|8.71
ECTMX|14.04|10.47|12.78|8.71
EIUTX|16.17|11.54|13.89|9.76
ETGIX|-2.80|-8.34|-1.15|12.92
EMGIX|-2.57|-8.40|-0.99|13.05
ECGIX|1.43|-7.15|-0.59|12.90
EGIIX|3.47|-6.22|0.28|13.73
EAGIX|-4.38|2.02|4.07|
EIGIX|0.65|3.98|5.36|
EALCX|18.85|9.51|16.98|6.52
ECLCX|24.10|10.84|17.47|6.35
ELCIX|26.38|11.96|18.66|7.33
ELCRX|25.77|11.41|18.07|6.89
EHSTX|12.65|8.95|13.40|6.29
ECSTX|17.64|10.28|13.90|6.12
EILVX|19.83|11.40|15.04|7.18
ERSTX|19.21|10.84|14.47|6.65
EAREX|-4.32|6.32|19.71|
EIREX|1.87|8.72|21.43|
EROAX|5.03|2.44|3.02|
EROCX|9.60|3.74|3.49|
EROIX|11.72|4.77|4.53|
EARRX|-2.41|1.55||
ECRRX|-1.93|1.54||
EIRRX|-0.02|2.53||
ETEGX|15.34|8.44|19.25|7.75
EBSMX|16.39|8.67|19.58|7.58
ECSMX|20.41|9.77|19.78|7.58
EISGX|22.61|10.88|20.98|8.54
ERSGX|22.03|10.33|20.38|8.13
EAVSX|13.88|8.85|16.31|7.12
EBVSX|14.98|9.09|16.62|6.96
ECVSX|18.98|10.22|16.84|6.96
EIVSX|21.19|11.32|17.97|7.88
EVSEX|14.28|6.82|17.56|6.79
ECSEX|19.32|8.11|18.09|6.62
EISEX|21.53|9.18|19.11|7.50
EOAIX|-2.82|2.02||
EOAAX|-3.99|1.76||
MYHAX|0.87|5.68|15.24|
MYHYX|3.89|6.54|15.40|
MYHIX|5.96|7.60|16.60|
MYHNX|0.92|5.68|15.20|
JNSXX||||
JRSXX||||
BBRC|-4.54|-4.47|-4.18|
BRXX|-4.54|-9.81|-9.45|
CHXX|-4.54|-10.09|-8.10|
EMHD|-4.54|-8.83|-8.03|
ECON|-4.54|-9.93|-8.81|
EMCR|-4.54|-7.64|-6.93|
EMDG|-4.54|-7.50|-8.04|
EMDD|-4.54|-8.06|-8.34|
INCO||||
INXX|-4.54|-11.94|-11.09|
SCIN||||
HILO|-4.54|-10.26|-9.00|
IEMF|1.48|||
LEMF|1.48|||
SEMF|1.48|||
EIIGX|-1.90|6.14|18.67|
EIIPX|-1.62|4.88|18.14|
EIIRX|4.69|10.86|21.93|9.28
GWO||||
DOD|-3.46|-2.51|-3.10|
FUE|-0.22|-3.72|-2.41|
GRU|-0.22|-2.70|-2.42|
WMW|-3.46|-2.09|-1.83|
RJA|-0.22|-0.69|-1.00|
RJN|-0.22|-1.01|-0.86|
RJZ|-0.22|-2.82|0.00|
RJI|-0.22|-1.59|-0.74|
LSC|-3.45|2.78|2.26|
EEH|-3.46|0.09|-3.34|
LSRYX|23.99|||
LSRIX|23.77|||
ELDFX|10.93|7.32|11.88|5.04
EINFX|0.89|4.53|6.27|4.45
EGLBX|12.05|4.66|12.14|6.74
ELMXX||||
ELFTX|-2.38|5.45|5.36|4.31
ELFNX|23.32|15.71|21.11|7.26
ENCPX|-26.28|-26.23|5.75|
GFFIX||||
GFFAX||||
GTOIX||||
GTOAX||||
IMPAX||||
ENTIX|18.63|8.43||
EPVAX|13.91|9.97|15.81|
EPVCX|17.95|11.02|16.08|
EPVNX|19.89|11.86|16.97|
EPEAX||||
EPECX||||
EPENX||||
ELAAX|-23.01|||
ELACX|6.60|3.15|3.52|4.39
ELANX|-19.42|||
EPIAX|-4.53|1.44||
EPICX|-1.26|2.48||
EPINX|0.49|3.27||
EBHIX||||
EBSAX||||
EBSCX||||
EBSIX||||
EBSPX||||
EQCHX|7.99|||
EQCRX||||
EEHAX||||
EEHCX||||
EEHIX||||
ALFA|-3.46|-0.45|-0.74|
VIDI|-4.54|-6.77|-5.51|
VUSE|-3.46|||
AGOL|-0.22|4.49|4.09|
SGOL|-0.22|3.40|4.09|
PALL|-0.22|-1.32|-0.61|
PPLT|-0.22|0.28|1.72|
GLTR|-0.22|1.15|1.95|
SIVR|-0.22|-1.46|-1.00|
WITE|-0.22|-0.60|0.00|
EUDFX|3.94|||
CEUAX|4.65|3.61|13.28|7.54
CEUBX|5.16|3.61|13.47|7.29
CEUCX|9.16|4.85|13.72|7.30
CEUEX|10.74|5.40|14.31|7.85
CEUFX|11.28|5.91|14.87|8.35
AEPGX|4.71|3.66|13.33|7.59
AEGBX|5.29|3.73|13.60|7.44
AEPCX|9.22|4.91|13.79|7.37
AEGFX|11.06|5.72|14.66|8.20
AEPFX|11.38|6.01|14.98|8.38
RERAX|10.26|4.92|13.81|7.37
RERBX|10.28|4.94|13.80|7.37
RERCX|10.77|5.43|14.35|7.89
REREX|11.11|5.73|14.68|8.21
RERFX|11.44|6.05|15.03|8.53
RERGX|11.48|6.10|15.05|8.40
EVGBX|21.96|1.69||
EVGIX|28.65|3.71||
HSPX|-3.46|-2.81|-2.90|
HFIN|-4.00|-3.21|-3.35|
FLAG|-3.46|-3.28|-3.55|
ROBO||||
ERW||||
YYY|-1.47|-1.72|-1.38|
YMLI|-4.00|0.04|0.14|
YMLP|-4.00|0.65|0.71|
SILJ|-4.00|21.49|19.00|
FAAFX|34.04|10.91||
FOCIX|29.39|10.30||
FAIRX|25.65|6.85|17.26|10.19
MAFFX|0.16|4.40|8.29|
MDFFX|-4.08|2.74|7.15|
MCFFX|-1.61|3.57|7.43|
MAVVX|22.20|13.84|20.34|
MDVVX|15.53|11.55|18.78|
MCVVX|19.93|12.72|19.17|
MADDX|25.66|12.86|19.52|
MDDDX|18.78|10.58|17.96|
MCDDX|23.37|11.73|18.31|
MAIQX|7.62|4.56|13.90|
MDIQX|1.73|2.45|12.42|
MCIQX|5.55|3.52|12.75|
FEUGX|-0.27|0.66|1.41|2.53
FASSX|-0.51|0.42|1.17|2.29
FMAAX|-0.79|-1.50|-1.07|-0.03
FMBBX|-1.28|-1.68|-1.07|-0.21
FMRCX|3.13|-0.34|-0.69|-0.21
FMIIX|5.18|0.65|0.30|0.70
VSFAX|14.83|9.53|19.30|7.80
VSFCX|19.59|10.77|19.79|7.67
VSFRX|21.31|11.37|20.27|7.97
VSFIX|21.80|11.90|20.96|8.55
VFCAX|14.36|11.36|15.31|6.95
VFCBX|14.60|11.60|15.57|6.77
VFCCX|19.13|12.67|15.78|6.79
VFCKX|20.74|13.25|16.35|7.16
VFCIX|21.29|13.77|16.93|7.70
FGLEX|9.18|7.02||
RIMAX|-4.84|-0.57|12.20|6.90
ICFBX|-5.58|-0.81|12.33|6.68
ICFFX|-1.08|0.53|12.59|6.68
ICFKX|0.51|1.14|13.16|7.10
ICRSX|0.69|1.33|13.47|7.50
ICFIX|1.01|1.64|13.83|7.72
IVFAX|-3.14|4.53|10.20|
IVFCX|0.83|5.72|10.63|
IVFIX|2.74|6.77|11.69|
KAUAX|26.30|10.82|17.26|7.50
KAUBX|27.43|11.27|17.69|7.54
KAUCX|31.70|12.27|17.87|7.52
KAUFX|33.31|12.90|18.51|8.10
KLCAX|19.27|14.42|23.04|
KLCCX|24.25|15.66|23.44|
KLCKX|25.87|16.09|23.93|
KLCSX|26.32|16.63|24.46|
KLCIX|26.58|16.91|24.77|
FKASX|25.50|11.85|22.92|8.54
FKBSX|26.57|12.31|23.47|8.56
FKCSX|31.07|13.35|23.64|8.56
FKKSX|32.91|14.02|24.35|9.12
FDRAX||||
FDRIX||||
FGSAX|21.19|9.07|16.65|6.62
FGSBX|21.79|9.21|16.88|6.42
FGSCX|26.25|10.31|17.09|6.42
FGSKX|27.64|10.62|17.40|6.77
FGSIX|28.55|11.43|18.21|7.34
BEARX|-25.44|-17.41|-18.28|-5.90
PBRCX|-22.48|-16.45|-17.96|-6.05
PBRIX|-20.86|-15.55|-17.14|-5.23
SVAAX|7.29|11.25|12.94|
SVACX|11.89|12.60|13.42|
SVAIX|13.98|13.67|14.51|
LEIFX|12.29|11.31|14.74|6.40
LEIBX|12.39|11.48|14.88|6.16
LEICX|16.92|12.54|15.12|6.17
LFEIX|17.34|12.73|15.46|6.59
FDERX|18.64|12.99|15.55|6.51
LEISX|19.07|13.57|16.14|7.05
FMUUX|-1.81|-0.02|0.45|1.38
FMUSX|0.65|1.11|1.32|2.04
STIAX|-4.08|3.32|9.93|6.05
SINBX|-5.61|2.90|9.85|5.73
SINCX|-1.28|4.14|10.13|5.74
STFSX|-0.56|4.55|10.72|6.43
STISX|0.58|5.16|11.18|6.69
FSTBX|5.06|5.20|10.81|4.90
FSBBX|4.91|5.16|10.91|4.65
FSBCX|9.37|6.40|11.21|4.68
FSBKX|10.75|6.77|11.58|5.03
SBFIX|11.51|7.52|12.36|5.63
FGMAX|-0.45|2.25|3.59|4.05
FGSSX|-0.70|2.08|3.41|3.89
FGOAX|-5.07|0.94|2.40|3.03
FGOBX|-6.71|0.39|2.18|2.71
FGOCX|-2.44|1.68|2.53|2.71
FGOIX|-1.60|2.13|3.12|3.39
FHIIX|1.18|6.32|14.77|7.20
FHBBX|-0.32|5.99|14.77|6.88
FHICX|4.16|7.17|15.00|6.88
FHTIX|10.04|10.37|18.97|8.74
FHYTX|10.04|10.37|18.97|8.74
CAPAX|2.20|6.52|11.92|6.47
CAPBX|1.96|6.56|12.10|6.29
CAPCX|6.49|7.79|12.39|6.30
CAPFX|7.20|8.19|12.96|6.99
CAPRX|8.05|8.16|12.72|6.59
CAPSX|8.53|8.74|13.31|7.14
FRSAX|1.34|3.17||
FRICX|1.91|3.42||
FFRSX|3.77|4.22||
FUSGX|-4.74|0.57|2.46|3.18
FUSBX|-6.34|0.08|2.27|2.87
FUSCX|-1.85|1.36|2.64|2.88
FIIFX|2.27|4.80|7.60|4.62
INISX|2.02|4.54|7.34|4.37
FMUAX|-0.18|7.78|8.57|4.91
FMNBX|-0.75|7.88|8.68|4.67
FMUCX|3.76|9.02|8.97|4.67
FMUFX|4.57|9.47|9.61|5.40
FMUIX|5.89|10.14|9.97|5.58
PSAFX|-10.94|-4.02|0.20|2.06
FPGCX|-8.38|-3.26|0.38|1.77
FPGIX|-6.46|-2.28|1.40|2.67
RRFAX|-8.46|0.60|3.01|
RRFCX|-5.75|1.40|3.26|
RRFIX|-3.94|2.41|4.18|
FTIAX|-1.03|0.98|3.01|2.56
FSTYX|0.72|2.07|3.99|3.40
FSTIX|0.55|1.90|3.82|3.24
FSISX|0.36|1.71|3.62|3.06
FUNAX|-5.45|-0.68||
FUBDX|-0.77|1.06||
FICMX|0.12|2.29|3.31|4.02
FITSX|-0.06|2.09|3.11|3.81
MXCCX|19.51|12.62|17.81|5.55
FMXKX|20.92|12.99|18.20|5.87
FISPX|21.73|13.83|19.07|6.66
FMXSX|21.41|13.48|18.71|6.34
FMCRX|21.89|13.79|22.82|9.50
FMDCX|21.58|13.61|22.70|9.45
FGUAX|-2.49|-0.79|-0.23|1.34
FGUSX|-0.01|0.33|0.63|2.01
FEUSX|-0.11|0.24|0.53|1.91
FIHBX|6.61|8.86|16.26|8.50
FGCAX|-0.18|2.83|4.87|
SRBRX|0.33|2.66|4.56|
FGCIX|0.83|3.18|5.08|
FGCSX|0.58|2.92|4.82|
FLDIX|0.10|2.11|2.74|3.28
FLDSX|-0.09|1.92|2.54|3.06
FTIIX|-7.52|-1.40|2.17|2.60
FTBBX|-9.20|-1.87|1.99|2.31
FTIBX|-4.90|-0.60|2.36|2.30
FDBAX|-2.03|4.30|9.64|5.57
FDBBX|-3.65|3.80|9.49|5.20
FDBCX|0.76|5.03|9.77|5.20
ISHIX|1.50|5.47|10.38|5.90
FDBIX|2.78|6.11|10.86|6.15
QAACX|20.48|12.32|16.11|5.29
QCACX|25.47|13.54|16.49|5.08
QKACX|26.90|13.88|16.87|5.48
QIACX|27.75|14.72|17.75|6.16
QABGX|9.06|7.00|11.11|4.84
QCBGX|13.50|8.23|11.53|4.63
QKBGX|15.12|8.60|11.90|5.01
QIBGX|15.73|9.33|12.67|5.66
QALGX|20.84|12.71|16.77|
QBLGX|21.36|12.98|17.00|
QCLGX|25.92|14.01|17.21|
QILGX|28.13|15.16|18.39|
QASCX|23.02|14.65|19.54|
QCSCX|28.32|15.98|19.99|
QISCX|30.66|17.13|21.20|
QASGX|20.62|14.56|19.00|
QBSGX|21.19|14.88|19.25|
QCSGX|25.57|15.88|19.47|
QISGX|27.98|17.05|20.66|
FMSTX|26.19|17.19|19.51|7.32
FSTKX|25.86|16.93|19.31|7.22
LMSFX|-7.05|4.45|4.44|3.07
LMSBX|-8.65|3.96|4.17|2.64
LMSCX|-4.42|5.18|4.51|2.65
LMFFX|-4.58|5.41|5.20|3.44
MMIFX|-4.02|3.76|3.60|3.18
FMOAX|-7.71|5.99|8.51|3.45
FMOBX|-9.15|5.60|8.38|3.14
FMNCX|-5.11|6.78|8.67|3.14
FHTFX|-4.32|7.27|9.29|3.83
FMYIX|-3.22|7.68|9.54|3.94
NYIFX|-6.52|4.02|4.91|2.96
NYIBX|-7.97|3.61|4.76|2.65
OMIAX|-5.85|3.78|3.87|2.96
OMIFX|-2.55|4.88|4.46|3.26
PAMFX|-6.24|3.81|4.52|2.72
FPABX|-7.80|3.36|4.33|2.40
FMTAX|-0.67|2.05|2.20|2.04
FSHIX|0.84|2.91|2.92|2.57
FSHSX|0.59|2.67|2.68|2.34
FTRGX|-0.76|3.01|3.10|4.23
FTGSX|-1.10|2.66|2.75|3.89
FGFIX|-0.14|2.54|3.96|4.08
FGFSX|-0.44|2.24|3.66|3.78
TLRAX|-4.33|2.12|4.88|4.09
TLRBX|-5.69|1.88|4.95|4.01
TLRCX|-1.32|3.16|5.30|4.04
FTRKX|0.05|3.52|5.65|4.36
FTRBX|0.73|4.27|6.43|5.13
FTRFX|0.43|3.96|6.11|4.82
FULAX|-1.73|0.40|2.34|1.87
FULIX|0.83|1.60|3.30|2.63
FULBX|0.37|1.15|2.83|2.18
FSGTX|-0.10|0.50|1.05|2.48
FSGVX|-0.26|0.34|0.89|2.36
FSGIX|-0.50|0.03|0.56|1.98
FIGKX|-1.55|0.71|1.28|2.64
FIGTX|-0.96|1.36|1.94|3.34
FIGIX|-1.19|1.13|1.71|3.10
IHIAX|-11.95|3.53|12.87|7.45
IHIBX|-13.21|3.12|12.85|7.13
IHICX|-9.30|4.36|13.10|7.13
EMDIX|-7.57|5.32|14.04|8.01
FGFAX|9.88|6.22|19.93|8.51
FGFBX|9.90|6.24|20.19|8.30
FGFCX|14.41|7.43|20.39|8.31
FGFRX|15.95|7.78|20.75|8.61
FGRSX|16.42|8.28|21.33|9.14
FGFLX|16.55|8.50|21.52|9.23
ISCAX|11.05|5.55|17.50|8.21
ISCBX|11.06|5.51|17.67|7.97
ISCCX|15.58|6.70|17.89|7.98
ISCIX|17.76|7.76|19.06|8.95
FAMEX|17.51|13.63|17.76|6.19
FAMFX|31.05|||
FAMVX|20.81|12.16|17.20|6.73
FFAVX|-1.00|2.54|9.41|3.72
FFBVX|-0.72|2.86|9.61|3.55
FCFVX|3.25|3.79|9.90|3.56
FFTVX|1.08|3.08|9.65|3.70
FFIVX|5.35|4.84|11.00|4.59
FACFX|0.75|3.65|10.71|4.19
FCFBX|1.05|4.00|10.93|4.02
FCFCX|5.07|4.91|11.20|4.01
FCFTX|2.84|4.18|10.96|4.16
FCIFX|7.14|5.99|12.33|5.07
FFVAX|1.06|3.82|11.07|4.41
FFVBX|1.36|4.17|11.28|4.25
FFVCX|5.42|5.10|11.53|4.25
FFVTX|3.22|4.38|11.33|4.40
FFVIX|7.45|6.13|12.67|5.29
FDAFX|1.68|4.07|12.37|4.36
FDBFX|2.01|4.42|12.58|4.19
FDCFX|6.16|5.38|12.86|4.21
FDTFX|3.86|4.62|12.61|4.35
FDIFX|8.18|6.42|13.98|5.25
FATWX|3.54|4.83|13.39|4.66
FBTWX|3.94|5.20|13.63|4.49
FCTWX|8.01|6.13|13.88|4.49
FTTWX|5.75|5.38|13.64|4.65
FITWX|10.13|7.18|15.01|5.54
FAFEX|3.95|4.94|13.92|4.44
FBFEX|4.47|5.35|14.19|4.28
FCFEX|8.53|6.23|14.43|4.29
FTFEX|6.21|5.53|14.16|4.43
FEFIX|10.67|7.31|15.56|5.32
FATHX|5.55|5.36|14.49|4.65
FBTHX|6.13|5.77|14.75|4.48
FCTHX|10.16|6.68|15.00|4.48
FTTHX|7.72|5.92|14.75|4.62
FITHX|12.28|7.74|16.16|5.53
FAFFX|5.75|5.44|14.78|4.62
FBFFX|6.47|5.87|15.08|4.46
FCFFX|10.45|6.76|15.29|4.46
FTFFX|8.05|6.02|15.04|4.61
FIFFX|12.49|7.81|16.45|5.51
FFFZX|6.19|5.60|15.00|
FFFKX|6.74|6.00|15.29|
FFFJX|10.86|6.89|15.41|
FFFTX|8.44|6.15|15.27|
FFFIX|12.98|7.96|16.66|
FFFLX|6.33|5.55|15.28|
FFFWX|6.96|5.94|15.56|
FFFYX|10.95|6.83|15.77|
FFFQX|8.68|6.11|15.50|
FFFPX|13.13|7.90|16.84|
FHFAX|6.79|||
FHFCX|11.42|||
FHFTX|9.07|||
FHFIX|13.58|||
FAFAX|-2.83|1.65|6.38|3.20
FBFAX|-2.63|1.96|6.54|3.04
FCAFX|1.37|2.93|6.87|3.04
FTAFX|-0.77|2.20|6.63|3.19
FIAFX|3.33|3.94|7.91|4.08
FFFBX|3.47|3.97|7.69|4.04
FFFVX|5.40|4.91|10.62|4.64
FFFCX|7.34|6.06|11.90|5.19
FFVFX|7.67|6.23|12.25|5.40
FFFDX|8.46|6.53|13.47|5.47
FFTWX|10.37|7.26|14.46|5.74
FFFEX|10.91|7.42|14.92|5.59
FFTHX|12.64|7.83|15.46|5.75
FFFFX|12.99|7.97|15.70|5.73
FFFGX|13.31|8.07|15.91|
FFFHX|13.41|7.99|16.09|
FDEEX|14.07|||
FFFAX|3.41|3.97|7.52|4.03
FGIFX|2.30|3.23||
FJIFX|4.03|4.30||
FKIFX|5.73|5.53||
FLIFX|6.10|5.72||
FPIFX|6.68|6.00||
FQIFX|8.52|6.84||
FXIFX|9.07|7.01||
FIHFX|10.63|7.51||
FBIFX|10.89|7.62||
FIOFX|11.28|7.77||
FIPFX|11.44|7.71||
FDEWX|12.06|||
FIKFX|2.26|3.22||
FFKBX|3.59|4.01||
FFKVX|5.59|5.01||
FFKCX|7.44|6.17||
FKVFX|7.82|6.33||
FFKDX|8.53|6.62||
FKTWX|10.52|7.40||
FFKEX|11.13|7.55||
FKTHX|12.79|7.99||
FFKFX|13.03|8.05||
FFKGX|13.49|8.20||
FFKHX|13.58|8.13||
FDENX|14.20|||
FFKAX|3.54|4.04||
FABLX|8.33|7.72|13.79|5.18
FAISX|9.05|8.11|13.98|4.95
FABCX|13.12|9.05|14.28|5.01
FAIGX|10.72|8.33|14.10|5.20
FZAAX|14.99|9.70|14.96|5.60
FAIOX|15.32|10.18|15.48|6.10
FADAX|13.37|7.93|21.05|5.10
FADBX|14.35|8.38|21.38|4.89
FDGCX|18.48|9.28|21.62|4.95
FDGTX|15.91|8.55|21.37|5.12
FZADX|20.53|10.16|22.54|5.74
FDGIX|20.68|10.41|22.85|6.06
EPGAX|23.53|12.46|19.92|5.63
EPGBX|25.06|13.06|20.24|5.44
EPGCX|29.12|13.88|20.46|5.46
FAEGX|26.25|13.15|20.28|5.69
FZAFX|31.57|15.11|21.78|6.64
EQPGX|31.51|15.10|21.77|6.64
FEIAX|9.83|9.68|17.05|4.95
FEIBX|10.52|10.16|17.30|4.72
FEICX|14.63|11.03|17.54|4.76
FEIRX|12.21|10.33|17.37|4.98
FZAGX|16.88|12.20|18.78|5.88
EQPIX|16.80|12.17|18.76|5.87
FAVAX|16.19|10.87|17.86|5.39
FAVBX|17.34|11.43|18.16|5.22
FAVCX|21.44|12.27|18.34|5.22
FAVTX|18.78|11.50|18.12|5.37
FAIVX|23.78|13.44|19.59|6.33
FFRAX|0.48|2.64|7.25|3.95
FFRBX|-0.72|2.23|7.05|3.67
FFRCX|1.55|2.79|7.03|3.50
FFRTX|0.39|2.52|7.18|3.89
FFRHX|3.62|3.86|8.15|4.52
FFRIX|3.57|3.82|8.09|4.48
FGIRX|14.07|11.79|17.62|5.49
FGISX|15.04|12.34|17.90|5.29
FGIUX|19.12|13.20|18.14|5.33
FGITX|16.51|12.42|17.89|5.49
FGIOX|21.49|14.44|19.45|6.47
FAGAX|22.88|15.29|24.10|6.55
FABGX|24.32|15.94|24.45|6.37
FACGX|28.41|16.72|24.64|6.39
FAGOX|25.57|15.99|24.44|6.61
FZAHX|30.50|17.49|25.40|7.02
FAGCX|30.74|17.97|25.99|7.57
FAHDX|3.38|6.38|19.34|7.66
FAHBX|1.97|6.21|19.29|7.34
FAHEX|5.90|7.02|19.44|7.28
FAHYX|3.44|6.39|19.36|7.65
FAHCX|8.04|8.10|20.63|8.35
FHIAX|1.12|5.81|12.67|6.31
FHCBX|-0.30|5.61|12.57|5.99
FHNCX|3.59|6.47|12.75|5.92
